index,Product Name,Customer Order Quantity,ECG_DESP,TUAV,PIB_CO,ISE_CO,VTOTAL_19,OTOTAL_19,ICI
2022-01-01,Material_1,423,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_10,433,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_11,300,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_12,119,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_13,120,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_14,41,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_15,57,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_16,103,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_17,80,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_18,192,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_19,498,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_2,223,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_20,516,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_21,98,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_23,833,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_24,511,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_25,539,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_3,432,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_30,209,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_31,1784,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_32,576,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_33,437,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_35,2592,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_37,2,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_38,228,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_39,114,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_4,1561,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_40,184,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_41,385,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_42,266,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_43,320,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_44,42,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_45,360,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_46,420,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_47,1445,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_48,13,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_49,83,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_51,1239,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_52,265,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_53,70,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_54,468,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_55,55,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_56,78,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_57,0,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_58,63,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_59,188,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_6,32,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_60,72,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_61,62,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_62,78,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_63,1284,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_64,376,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_65,93,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_66,135,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_67,413,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_69,82,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_70,39,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_71,45,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_72,119,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_73,7,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_74,87,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_76,256,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_77,137,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_78,66,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_79,492,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_8,60,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_80,207,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_82,68,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_83,113,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_84,7,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-01-01,Material_9,587,963889.4283152949,16196,10904.3781857299,75.67172322920001,23128,172045,12.7
2022-02-01,Material_1,588,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_10,656,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_11,340,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_12,111,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_13,48,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_14,39,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_15,33,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_16,121,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_17,126,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_18,168,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_19,720,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_2,370,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_20,468,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_21,523,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_23,2121,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_24,1024,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_25,881,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_3,648,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_30,184,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
2022-02-01,Material_31,1592,1106900.2813558457,20511,10904.3781857299,76.70403428075076,24416,167573,15.5
